"h2","kappa","latent_scale","seed","spread_variation","aed_sq_mean","aed_sq_min","aed_sq_q05","aed_sq_median","aed_sq_q95","aed_sq_max","aed_unsq_mean","gini_t2","t2_total","t2_max_clone","t2_zero_clones","spearman_aed_t2size"
0.9,Inf,1,10,"isotropic",0.110963724925891,0.0607781703023793,0.0774050542937461,0.112196877172507,0.144169916717237,0.199913234795875,0.331484862608039,0.580455635491607,2919,233,2,0.0222923372614105
0.75,Inf,1,10,"isotropic",0.261458322637477,0.15864689051235,0.186105808395436,0.257768721040233,0.352299727025287,0.431433063595945,0.508876248929649,0.560252541816989,3049,215,2,0.0579772832853237
0.5,Inf,1,10,"isotropic",0.514031322242296,0.31707096664564,0.373500541104784,0.509155567490566,0.665300963231753,0.805955608489418,0.714368585030083,0.497116564417178,2934,166,2,0.0834971753030073
0.25,Inf,1,10,"isotropic",0.758268039100221,0.50643681329687,0.574317874495187,0.761382045603287,0.948987992193546,1.11534717157013,0.86903919438674,0.434474375821288,3044,115,0,0.0938995090768715
0.1,Inf,1,10,"isotropic",0.902063477359063,0.637095503959528,0.714072213112988,0.90940973218345,1.0917376915979,1.25993564838281,0.94900395338512,0.385973941368078,3070,181,1,0.127065517539459
0,Inf,1,10,"isotropic",0.994641013014688,0.695383992503298,0.802475119691331,0.996821142570904,1.18118717234397,1.34339579327128,0.996978112821321,0.39156378600823,2916,297,0,0.0606992335646198
0.9,3,1,10,"isotropic",0.115282399198522,0.0208189008625612,0.0315756979952111,0.0898836846836587,0.266109670749547,0.399791909540627,0.323564308578669,0.572784893267652,3045,192,3,0.103770510318837
0.75,3,1,10,"isotropic",0.265919556079795,0.0422811216402845,0.0769495395409365,0.222274672260343,0.588577400828953,0.853766038048721,0.490988708903344,0.566015574302401,3082,193,2,0.238418403436145
0.5,3,1,10,"isotropic",0.508354790334948,0.086138016004352,0.145918803414808,0.451503452473651,1.10275321978964,1.50663566575784,0.685462996383225,0.588812520167796,3099,219,2,0.376160281123232
0.25,3,1,10,"isotropic",0.739926567168064,0.141938870543737,0.223557809371624,0.658322765752246,1.50634128710472,1.86187372050473,0.836413450347287,0.668475033738192,2964,518,1,0.460387310523276
0.1,3,1,10,"isotropic",0.871043511360205,0.177202720541291,0.291458204513597,0.797420791549715,1.71044851603688,1.98512508009897,0.914658906943512,0.738265876933202,3039,967,1,0.510387887763508
0,3,1,10,"isotropic",0.960915045867518,0.189814667460184,0.312263231432557,0.889675599967041,1.83684856069655,2.08049952476319,0.965583861002423,0.802295618051014,3058,1495,1,0.585704786818474
0.9,1.5,1,10,"isotropic",0.121290141502941,0.0148232518486323,0.0227160639545818,0.09797646044514,0.27240067750985,0.37692177992453,0.326987147378432,0.564146832048274,2983,182,1,-0.0658452096661763
0.75,1.5,1,10,"isotropic",0.277129348341993,0.0175501087682747,0.0405420079838235,0.228749460659149,0.624849370806625,0.829394685555858,0.492917489455401,0.546208754208754,2970,174,3,-0.0168030416490562
0.5,1.5,1,10,"isotropic",0.519959082787811,0.0271764942841299,0.0868117374755586,0.432769631693048,1.13966247236805,1.33277537413279,0.682137363447898,0.550532978014657,3002,283,1,0.195723066678449
0.25,1.5,1,10,"isotropic",0.743108231646682,0.0400628311912157,0.122082524096848,0.65132413220552,1.60134611756661,1.66946339222552,0.826665121454947,0.606127069956066,2959,493,0,0.345653406457043
0.1,1.5,1,10,"isotropic",0.867489274687703,0.0431554676701729,0.140496968052554,0.774664271137518,1.73574924361575,1.86021501941399,0.901253758966126,0.651652946987158,3037,714,0,0.501285283674951
0,1.5,1,10,"isotropic",0.954779849738572,0.0498703334619205,0.174940195969279,0.85811784701332,1.83703862623326,1.9905423613766,0.952870787423025,0.706843800322061,3105,835,1,0.641764394496989
0.9,1,1,10,"isotropic",0.114001843292562,0.00766653948108084,0.0160136086207134,0.0788530838505493,0.325761746487373,0.530037619780907,0.30867233814941,0.5895004995005,3003,230,3,0.0244120669430706
0.75,1,1,10,"isotropic",0.257816158099563,0.0122346332712146,0.0262082857171084,0.184345117205137,0.747814273902941,1.05786606116185,0.46223982659126,0.569775280898876,3026,190,1,0.107791237233892
0.5,1,1,10,"isotropic",0.489284541077524,0.0194094007804308,0.0498916744428123,0.364844964379819,1.36054457679095,1.73802506585869,0.644288596039926,0.588695505238256,2959,418,0,0.298950729690257
0.25,1,1,10,"isotropic",0.704002377921761,0.0208359170149685,0.0672785195358341,0.565898075380003,1.72369919572043,2.03086676581318,0.787284045729377,0.65199137072685,3013,837,0,0.589155820807828
0.1,1,1,10,"isotropic",0.832027315811968,0.0243123723077783,0.0792012973019495,0.699109026415595,1.92461472054537,2.2254328921706,0.867728833783851,0.702854251012146,2964,1125,1,0.595772203117852
0,1,1,10,"isotropic",0.916766578846091,0.0267723980095687,0.102303836299151,0.804695354359381,2.07477897051964,2.30020555069856,0.92233619323873,0.73503795721187,2898,1034,0,0.673968702600088
0.9,Inf,1,20,"isotropic",0.102229139928924,0.0530347530423637,0.0732811151709544,0.103032300568413,0.129537174770386,0.159186092532247,0.318156378472105,0.667645438898451,2905,471,6,-0.0526745837783562
0.75,Inf,1,20,"isotropic",0.243721549809869,0.15207194711837,0.175621958085723,0.243779455621642,0.312212583391405,0.379926539676536,0.491502177197617,0.623351443123939,2945,408,3,-0.0750435551825048
0.5,Inf,1,20,"isotropic",0.491579585151501,0.274357642799963,0.365324182857852,0.500108829790516,0.611084868552937,0.749733674158411,0.698761130591431,0.529711506205971,2981,296,0,-0.0329965283389381
0.25,Inf,1,20,"isotropic",0.743302675250386,0.449739587297918,0.583229309750064,0.75122210929046,0.913290047364205,1.07782386155296,0.861299253198236,0.423056021469306,2981,170,0,0.0161057480343303
0.1,Inf,1,20,"isotropic",0.897795694191196,0.58166669717286,0.717546810047431,0.90089879226277,1.08901145469198,1.29063112391184,0.947304165288175,0.363905266644584,3019,112,0,0.0184162214844346
0,Inf,1,20,"isotropic",1.00005638718232,0.631490863551143,0.806817343156885,1.00547624180741,1.19039467328946,1.42683747196627,1.00026295896193,0.366662134602311,2942,106,0,0.0339105219835818
